,date,household,household_io(mom),household(mom),pop_density,pop(mom),area,men,women,total,size
868,2016-01-01,46351,-2.0,,13645.65483,111493,鶴見区,58073,53412,111485,8.17
869,2016-01-01,50319,21.0,,18062.04013,107984,阿倍野区,58212,49799,108011,5.98
870,2016-01-01,56968,15.0,,5956.283358,122833,住之江区,63739,59020,122759,20.61
871,2016-01-01,71595,-148.0,,16379.89362,154168,住吉区,82064,71907,153971,9.4
872,2016-01-01,57818,-36.0,,12948.51282,126284,東住吉区,66679,59569,126248,9.75
873,2016-01-01,89096,33.0,,12860.99476,196563,平野区,103346,93170,196516,15.28
874,2016-01-01,69199,-120.0,,15150.06784,111839,西成区,47122,64534,111656,7.37
875,2015-12-01,1357376,685.0,,11957.55073,2692763,大阪市,1389666,1303294,2692960,225.21
876,2015-12-01,74357,123.0,,11990.71567,123821,北区,64025,59959,123984,10.34
877,2015-12-01,51606,6.0,,17224.01316,104722,都島区,54187,50535,104722,6.08
878,2015-12-01,37541,4.0,,15531.26338,72549,福島区,38346,34185,72531,4.67
879,2015-12-01,30716,-5.0,,3459.480519,66639,此花区,34048,32547,66595,19.25
880,2015-12-01,59369,80.0,,10532.69448,93355,中央区,49763,43662,93425,8.87
881,2015-12-01,52460,97.0,,17827.83109,92729,西区,49103,43780,92883,5.21
882,2015-12-01,40398,33.0,,10439.05852,82032,港区,41940,40111,82051,7.86
883,2015-12-01,29184,-29.0,,6899.787911,65126,大正区,33325,31740,65065,9.43
884,2015-12-01,38182,33.0,,15679.958680000002,75858,天王寺区,40570,35321,75891,4.84
885,2015-12-01,47946,93.0,,16018.67882,70142,浪速区,34610,35712,70322,4.39
886,2015-12-01,42948,23.0,,6713.783404000002,95472,西淀川区,48482,46988,95470,14.22
887,2015-12-01,94601,6.0,,13948.10127,176343,淀川区,88948,87356,176304,12.64
888,2015-12-01,92798,143.0,,13232.10249,175544,東淀川区,89163,86427,175590,13.27
889,2015-12-01,39674,-24.0,,17733.25991,80562,東成区,42008,38501,80509,4.54
890,2015-12-01,63721,-53.0,,15541.45759,130220,生野区,67504,62578,130082,8.37
891,2015-12-01,43621,-32.0,,14478.48101,91560,旭区,47832,43672,91504,6.32
892,2015-12-01,76671,104.0,,19673.98568,164794,城東区,86332,78536,164868,8.38
893,2015-12-01,46353,2.0,,13646.63403,111495,鶴見区,58079,53414,111493,8.17
894,2015-12-01,50298,24.0,,18057.52508,107876,阿倍野区,58255,49729,107984,5.98
895,2015-12-01,56953,41.0,,5959.873847999998,122882,住之江区,63788,59045,122833,20.61
896,2015-12-01,71743,-22.0,,16400.85106,154234,住吉区,82134,72034,154168,9.4
897,2015-12-01,57854,52.0,,12952.20513,126248,東住吉区,66674,59610,126284,9.75
898,2015-12-01,89063,13.0,,12864.07068,196634,平野区,103362,93201,196563,15.28
899,2015-12-01,69319,-27.0,,15174.89824,111926,西成区,47188,64651,111839,7.37
900,2015-11-01,1356691,1898.0,,11956.67599,2691185,大阪市,1389546,1303217,2692763,225.21
901,2015-11-01,74234,52.0,,11974.95164,123667,北区,63957,59864,123821,10.34
902,2015-11-01,51600,51.0,,17224.01316,104727,都島区,54199,50523,104722,6.08
903,2015-11-01,37537,27.0,,15535.11777,72484,福島区,38359,34190,72549,4.67
904,2015-11-01,30721,9.0,,3461.766234,66656,此花区,34061,32578,66639,19.25
905,2015-11-01,59289,205.0,,10524.80271,93069,中央区,49709,43646,93355,8.87
